키워드,분석 스코어
경기도,200.78964
파주,196.0
유치 결정,149.33333
경기북부 경쟁 지자체,134.4
고양,105.411766
김포,104.53333
운정,103.38461
파주 운정,96.04071
공모중,96.0
지자체,91.03887
경기도 소방재난본부,89.6
오산시,89.6
의정부시,78.1902
도봉구,74.666664
수요층,74.666664
양주시등,74.666664
인구수,74.666664
행정안전부,74.666664
전통문화,15.771428
문화기능,12.342857
특화종교시설용지,12.289157
세종시청,10.165517
행복청,9.983193
템플스테이,9.386666
불교,9.295774
종교문화진흥사업,8.425532
문체부,7.2380953
문화체육관광부,5.0
문체부 종무실,4.0
문화재,4.0
종교 건축물,4.0
지방자치단체,4.0
체험활동,4.0
편백나무,4.0
순천만잡월드,3.3333333
계획서,3.3333333
국고보조,3.3333333
국내관광진흥,3.3333333
대형 화재 사건,3.3333333
문화성,3.3333333
사회치안 지수,3.3333333
생활다,3.3333333
세종,3.3333333
수행실,3.3333333
시군,3.3333333
신행실,3.3333333
어린이 비중,3.3333333
전통불교음악,3.3333333
확대 정책,3.3333333
체육시설 부지,3.0
경기북부 국민안전체험관,2.7247307
도서관,2.6666667
문화예술진흥법,2.5714285
의거 문화시설,2.5714285
삼나무잎,2.4
골프장,2.3076923
寺仙溪,2.0
巖山曹,2.0
공익 시설,2.0
남양주시,2.0
담소,2.0
뚱냥이,2.0
바다해,2.0
버스안,2.0
빌라촌,2.0
순천이야기강의,2.0
신라시대,2.0
역사문화공원,2.0
이동중,2.0
조계산 선암사 글,2.0
좋은경험이,2.0
중간다리,2.0
해설사분,2.0
민간위탁사,1.6
영상관,1.6
사거리,1.5
순천시,1.5
전문강사,1.5
LH,1.3333334
일중 비품관리,1.3333334
국민안전체험관 시설,0.896
한국불교문화체험관,0.18191083
한국불교문화체험관 건립지원 계획서,0.04
야생차체험관,0.024
어린이체험관,0.023076924
