민원 건수,민원 일자,증가율
5127,2022-12-01,-12.3
5331,2022-12-02,4.0
4578,2022-12-03,-14.1
4462,2022-12-04,-2.5
5547,2022-12-05,24.3
5398,2022-12-06,-2.7
6136,2022-12-07,13.7
6316,2022-12-08,2.9
6628,2022-12-09,4.9
6040,2022-12-10,-8.9
5217,2022-12-11,-13.6
5378,2022-12-12,3.1
5060,2022-12-13,-5.9
5129,2022-12-14,1.4
4494,2022-12-15,-12.4
4836,2022-12-16,7.6
4391,2022-12-17,-9.2
4335,2022-12-18,-1.3
4769,2022-12-19,10.0
5218,2022-12-20,9.4
5312,2022-12-21,1.8
5174,2022-12-22,-2.6
4609,2022-12-23,-10.9
4528,2022-12-24,-1.8
4283,2022-12-25,-5.4
4624,2022-12-26,8.0
4862,2022-12-27,5.1
4753,2022-12-28,-2.2
4726,2022-12-29,-0.6
4765,2022-12-30,0.8
5091,2022-12-31,6.8
